Time (seconds),Successful,Unsuccessful
0,0,0
1.175,1034.8936170212767,0
2.35,1027.2340425531916,0
3.5250000000000004,1005.1063829787233,0
4.7,1009.3617021276596,0
5.875,965.1063829787233,0
7.050000000000001,958.2978723404254,0
8.225,704.6808510638298,0
9.4,1081.7021276595744,0
10.575000000000001,1257.0212765957447,0
11.75,1031.4893617021276,0
12.925,1002.5531914893617,0
14.100000000000001,999.1489361702128,0
15.275,982.9787234042553,0
16.45,1017.0212765957447,0
17.625,1002.5531914893617,0
18.8,999.1489361702128,0
19.975,1000.8510638297872,0
21.150000000000002,999.1489361702128,0
22.325,1002.5531914893617,0
23.5,1000,0
24.675,1000,0
25.85,999.1489361702128,0
27.025000000000002,1000.8510638297872,0
28.200000000000003,996.595744680851,0
29.375,1003.4042553191489,0
30.55,999.1489361702128,0
31.725,1000.8510638297872,0
32.9,947.2340425531914,0
34.075,1019.5744680851063,0
35.25,712.3404255319149,0
36.425000000000004,1021.2765957446808,0
37.6,915.7446808510638,1.702127659574468
38.775,780.4255319148936,1.702127659574468
39.95,969.3617021276596,0
41.125,1192.340425531915,0
42.300000000000004,1222.127659574468,0
43.475,988.0851063829787,0
44.65,866.3829787234042,0
45.825,1003.4042553191489,0
