Time (seconds),Latency (ms)
0,0
0.725,890.9642998618714
1.45,2148.9170802192452
2.175,3073.4366978595062
2.9,4675.2576912006925
3.625,4678.674587574486
4.35,6806.918224270651
5.075,6858.280298506864
5.8,7840.044323725135
6.5249999999999995,6921.350881882989
7.25,7210.18995371605
7.975,8692.779668018833
8.7,10048.532526484623
9.424999999999999,10743.881397466263
10.15,9459.278546559819
10.875,11562.377903193508
11.6,13241.846512186728
12.325,12857.212673626895
13.049999999999999,13452.060066171409
13.775,15328.493803784035
14.5,16375.451723103604
15.225,16027.406954766104
15.95,0
16.675,0
17.4,0
18.125,0
18.849999999999998,0
19.575,0
20.3,0
21.025,0
21.75,0
22.474999999999998,0
23.2,0
23.925,0
24.65,0
25.375,0
26.099999999999998,0
26.825,0
27.55,0
28.275,0
