Time (seconds),Read Transactions,Insert Transactions
0,0,0
1.5666666660000002,0,531.7021278858307
3.1333333320000003,0,499.1489363826165
4.699999998000001,0,499.78723425522855
6.266666664000001,0,498.51063851000447
7.83333333,0,501.7021278730647
9.399999996000002,0,497.2340427647804
10.966666662000002,0,502.3404257456767
12.533333328000001,0,500.4255321278406
14.099999994000001,0,495.9574470195563
15.66666666,0,504.25531936351285
17.233333326,0,499.1489363826165
18.799999992000004,0,497.8723406373924
20.366666658000003,0,504.25531936351285
21.933333324000003,0,499.1489363826165
23.499999990000003,0,497.8723406373924
25.066666656000002,0,503.6170214909008
26.633333322000002,0,497.8723406373924
28.199999988000002,0,497.2340427647804
29.766666654,0,502.97872361828877
31.33333332,0,501.06383000045264
32.899999986000005,0,497.2340427647804
34.466666652,0,502.3404257456767
36.033333318000004,0,499.1489363826165
37.59999998400001,0,499.78723425522855
39.16666665,0,499.1489363826165
40.73333331600001,0,499.78723425522855
42.299999982,0,501.7021278730647
43.866666648000006,0,497.2340427647804
45.433333314,0,501.7021278730647
