Time (seconds),Latency (ms)
0,0
0.725,891.0209350598344
1.45,2148.9648586749167
2.175,3073.488531043394
2.9,4675.285247058821
3.625,4678.7303532372425
4.35,6806.956339859831
5.075,6858.315892188183
5.8,7840.065088475825
6.5249999999999995,6921.401154979353
7.25,7210.22019475948
7.975,8692.835619880754
8.7,10048.614826608338
9.424999999999999,10743.921925939387
10.15,9459.32756773728
10.875,11564.176074518236
11.6,13241.366173170945
12.325,12857.287904973078
13.049999999999999,13452.080896780686
13.775,15328.823578488884
14.5,16397.888998673698
15.225,16035.039079499255
15.95,0
16.675,0
17.4,0
18.125,0
18.849999999999998,0
19.575,0
20.3,0
21.025,0
21.75,0
22.474999999999998,0
23.2,0
23.925,0
24.65,0
25.375,0
26.099999999999998,0
26.825,0
27.55,0
28.275,0
