Time (seconds),Fraction of Read Requests
0,0
1.5666666660000002,0
3.1333333320000003,0
4.699999998000001,0
6.266666664000001,0
7.83333333,0
9.399999996000002,0
10.966666662000002,0
12.533333328000001,0
14.099999994000001,0
15.66666666,0
17.233333326,0
18.799999992000004,0
20.366666658000003,0
21.933333324000003,0
23.499999990000003,0
25.066666656000002,0
26.633333322000002,0
28.199999988000002,0
29.766666654,0
31.33333332,0
32.899999986000005,0
34.466666652,0
36.033333318000004,0
37.59999998400001,0
39.16666665,0
40.73333331600001,0
42.299999982,0
43.866666648000006,0
45.433333314,0
