Time (seconds),Total Misses Per Second,Total Hits Per Second
0,0,0
0.300432775,1611.0093181411382,11503.4053791235
0.60086555,1401.3118242508663,11679.817556523252
0.901298325,1883.9489133633972,11203.837530708826
1.2017311,1814.0497487333066,11317.007606776591
1.502163875,1834.0209386276183,10408.318466585411
1.80259665,1824.0353436804623,10887.627024048892
2.103029425,2373.2430657740324,12425.408645910888
2.4034622,1850.6635968728779,11273.736695338916
2.703894975,1507.8248370205283,10781.114011279229
3.00432775,1597.6951915449306,11753.045252802396
3.304760525,3395.102282032977,8907.150692862988
3.6051933,2556.312306471889,8484.427173433392
3.905626075,2969.0502309543294,8577.626059606846
4.20605885,2822.594838396044,9409.758971869831
4.506491625,2666.153850890603,8511.055426625808
4.8069244,1840.6780019257221,10448.260846374036
5.107357175,2180.1882301290198,10042.1799851897
5.40778995,3255.303952772796,9249.989452715337
5.708222725,3142.13387670503,9812.511301405115
6.0086555,3408.4164086291853,11766.359379398604
6.309088275,3018.9782056901086,10348.404896902477
6.60952105,2932.436382814758,7395.997324193408
6.909953825,2326.643622687305,5532.019600724322
7.2103866,2113.617597147981,6310.896006602476
7.510819375,1644.2946346316578,5941.428993557711
7.81125215,582.4930385840893,6001.342563240645
8.111684924999999,1630.98050803545,4669.92990361987
8.4121177,1068.4586593456722,3341.8457756481466
8.712550475,2110.289065498929,4443.589751484338
