Time (seconds),Read Transactions,Insert Transactions
0,0,0
0.300432775,0,11626.561050138422
0.60086555,0,12039.298974620862
0.901298325,0,12129.169329145265
1.2017311,0,12155.79758233768
1.502163875,0,11247.1084421465
1.80259665,0,11516.719505719708
2.103029425,0,12874.760418532898
2.4034622,0,11210.49459400693
2.703894975,0,11187.194872463566
3.00432775,0,12312.23856984312
3.304760525,0,11410.206492950047
3.6051933,0,10511.502947706022
3.905626075,0,10877.641429101735
4.20605885,0,11047.396543203384
4.506491625,0,9113.519655104208
4.8069244,0,12774.904469061341
5.107357175,0,11666.503429927045
5.40778995,0,10531.474137600333
5.708222725,0,11220.480188954085
6.0086555,0,11942.771556798356
6.309088275,0,11283.722290286072
6.60952105,0,10218.592162589452
6.909953825,0,9619.456465760102
7.2103866,0,11779.673505994811
7.510819375,0,10388.3472766911
7.81125215,0,9879.081934386153
8.111684924999999,0,10248.54894743092
8.4121177,0,10468.232036268348
8.712550475,0,10005.566137050128
