Time (seconds),Latency (ms)
0,0
0.300432775,510.33051077641045
0.60086555,569.7377580420244
0.901298325,967.6830034972573
1.2017311,1251.184147368839
1.502163875,1092.1701152919388
1.80259665,1132.1552844732432
2.103029425,1118.3035793480747
2.4034622,1073.9530226475654
2.703894975,1205.2376198122586
3.00432775,1355.5867767231696
3.304760525,2817.2459711441043
3.6051933,2290.5509240161523
3.905626075,2152.4354713278112
4.20605885,2095.03597779203
4.506491625,1743.8091987690093
4.8069244,2061.3570345604444
5.107357175,1983.5484147803497
5.40778995,1237.7182288757897
5.708222725,1372.1022387662413
6.0086555,1654.7560036548537
6.309088275,1562.816024287908
6.60952105,1642.053074386475
6.909953825,2758.4827414436013
7.2103866,2460.256431128288
7.510819375,2901.0811765815474
7.81125215,1351.931142277384
8.111684924999999,1495.3744441543217
8.4121177,1900.814213579657
8.712550475,1897.2322783366612
