Time (seconds),Node1,Node2,Node3,Node4
0,0,0,0,0
0.300432775,859.7836454487325,2015.012600294635,1493.8674640998993,1057.0272096232038
0.60086555,526.0518434279568,3585.308988795682,1128.6774102695497,536.6764769608938
0.901298325,977.33260428308,5423.399115724597,814.4886450676079,1825.6782929721296
1.2017311,3748.2589386340087,5022.565908796828,539.7038641606465,4213.55973372165
1.502163875,3540.8007523456317,4951.19451269937,487.76877517347936,3719.9604276564537
1.80259665,3174.877698298006,4701.030966454,4637.221278983571,3853.604273062367
2.103029425,2839.9329761173763,4525.16483067854,5822.916496150835,3335.3316061053124
2.4034622,2583.8049711627923,3920.7583670788686,5713.993107203873,4453.904196099009
2.703894975,2448.880075595192,3391.225474047854,5284.30925092374,5589.732865287281
3.00432775,2214.753206301159,3084.888446851278,4953.2974394597595,5237.888631859536
3.304760525,10521.422740877591,3291.7256652305678,4701.268456209199,4995.660177900108
3.6051933,6455.36410676144,2877.014335308804,4489.236152619286,4817.39476080068
3.905626075,4379.770725572973,2826.9617346051937,4149.244117398699,4639.188958859937
4.20605885,4103.610750721069,3218.7386209041642,3821.1118759219503,4412.74103430941
4.506491625,4056.3055902576125,3875.4749294564745,3618.5056108962694,4152.429159876336
4.8069244,9585.570737068967,7036.332912542846,3270.263864301763,3683.4494633874124
5.107357175,9088.103867613858,6719.536607529335,3014.6457078820576,3489.701859874759
5.40778995,339.4360993115239,6865.818484015828,2654.8267604432963,3119.1167345328968
5.708222725,596.0579189287566,6542.757398036143,2475.2773393708217,2759.0166660060268
6.0086555,1115.9109293299853,6249.210725411412,2229.0934521380223,2484.5511519947104
6.309088275,1916.7231881357695,5981.746489711762,1962.6079801557062,2188.0368025076327
6.60952105,1974.2400081354801,5775.883729891568,1704.5145481758038,2094.297524922681
6.909953825,7329.61536032852,5541.959947502553,5459.995447875,1695.7673201560287
7.2103866,7269.649996639232,5260.422726540232,6009.858449,1368.1119012615534
7.510819375,6768.19114835757,4907.974744431252,1403.7646055979735,1413.5172314589147
7.81125215,6665.793834070468,4813.392952900002,347.8351272834949,816.6926376947705
8.111684924999999,6365.591992309138,5146.665051559441,430.2949432800001,176.87204920078733
8.4121177,6029.919094726619,3826.2467938819464,0,226.02727088636365
8.712550475,5763.4067057100565,3565.397346943126,0,0
