Time (seconds),Fraction of Read Requests
0,0
0.350010794,0.03398058252427184
0.700021588,0.17420066152149946
1.050032382,0.3355408388520971
1.400043176,0
1.7500539700000002,0.5495426829268293
2.100064764,0.1941860465116279
2.450075558,0.07355679702048418
2.800086352,0.8906928881774525
3.1500971460000002,0.28134556574923547
3.5001079400000004,0.5082063305978898
3.850118734,0.2579505300353357
4.200129528,0.8872901678657075
4.550140322,0.8726027397260274
4.900151116,0.010606060606060607
5.25016191,1
5.600172704,1
5.950183498,0
6.3001942920000005,0
6.650205086000001,0.9311693390692217
7.000215880000001,1
7.350226674,0.6035087719298246
7.700237468,1
8.050248262,0.9746630727762803
8.400259056,0.9636632200886263
8.75026985,0.9940210459183674
9.100280644,0.8677907645142747
9.450291438,0.6898608349900597
9.800302232,0.0055248618784530384
10.150313026000001,0
10.50032382,0
10.850334614000001,0.9559865092748735
11.200345408,1
11.550356202,0
11.900366996,0
12.25037779,1
12.600388584000001,1
12.950399378,0
13.300410172000001,0
13.650420966,0
