Time (seconds),Latency (ms)
0,0
0.375036867,39.94931724722223
0.750073734,40.47856271559635
1.125110601,30.949045469387727
1.500147468,46.45469148231509
1.875184335,36.909850022435904
2.250221202,33.48700794623653
2.625258069,31.86957276209679
3.000294936,35.46902357017541
3.375331803,33.95524558303886
3.75036867,37.01175545422535
4.125405537,233.14560609137075
4.500442404,446.783159024643
4.875479271,1385.6079528982114
5.250516138,1639.1219866758304
5.6255530049999996,1453.3780650523652
6.000589872,1765.9078197882054
6.375626739,1701.278002610915
6.750663606,1656.4434718182222
7.125700473,1013.3586124457543
7.50073734,905.4288536572357
7.875774207,868.2675725436189
8.250811074,843.5957848412386
8.625847941,1164.3389425707903
9.000884808,1266.2310420335273
9.375921675,1227.9553114254427
9.750958542,1016.6241719564648
10.125995409,769.0750642226902
10.501032276,1073.292357859317
10.876069143,866.457597413991
11.251106009999999,897.6574345333026
11.626142877,696.7613518188685
12.001179744,566.4876044106461
12.376216611,719.7441653309763
12.751253478,831.4532822026853
13.126290345,720.2300383633715
13.501327212,775.0435475405301
13.876364079,497.7247494108393
14.251400946,1080.9044533655199
14.626437812999999,1456.3479872088865
