Time (seconds),Node7,Node1,Node2,Node3,Node4,Node5,Node6
1,1,1.0002636435539152,1.000263574064312,1.000263782643102,1.0002630194634403,1.0002591344908007,1.0002546473134708
2,0.5474339035769828,0.5460058001581861,0.5411175540326831,0.5449749406489053,0.542872172540768,0.5483285825343354,0.5543672014260249
3,0.24650077760497668,0.2501977326654363,0.23774380600948866,0.2553415985228172,0.2519726459758022,0.25343353200310964,0.24777183600713013
4,0.10653188180404355,0.11732138149222252,0.10463890353189247,0.10498549195462939,0.10941609679116254,0.11661052086032651,0.10466004583651642
5,0.052099533437014,0.055892433430002636,0.05166051660516605,0.052492745977314695,0.055234087322461864,0.055454781031355274,0.05118411000763942
6,0.03084499740798341,0.03611916688636963,0.030047443331576173,0.0327090477446584,0.03235139400315623,0.031873542368489244,0.033358798064680416
7,0.022291342664593053,0.023464276298444504,0.02161307327358988,0.022157742020575046,0.024986849026827986,0.024358642135268203,0.025719378660555132
8,0.017884914463452566,0.017664118112312156,0.017659462308908802,0.01767343708783962,0.020515518148342977,0.01891681782845297,0.021135727018079958
9,0.015552099533437015,0.01476403901924598,0.015023721665788086,0.01556317594302295,0.017622304050499738,0.016066338429644986,0.01757066462948816
10,0.01347848626231208,0.011600316372264698,0.012651555086979441,0.013452914798206279,0.01551814834297738,0.01347499352163773,0.0142602495543672
11,0.012182477967858995,0.010545742156604272,0.011597258829731154,0.01160643629649169,0.014203051025775907,0.012438455558434827,0.01145912910618793
12,0.01166407465007776,0.010282098602689164,0.010279388508170796,0.011078871010287523,0.013150973172014729,0.010365379632029024,0.011204481792717087
13,0.01088646967340591,0.009491167940943844,0.008961518186610437,0.009759957794777103,0.01209889531825355,0.009587976159626846,0.010949834479246244
14,0.009849663037843442,0.008436593725283418,0.008434370057986295,0.00949617515167502,0.011046817464492372,0.008292303705623219,0.009931245225362872
15,0.008035251425609125,0.007909306617453203,0.00790722192936215,0.009232392508572936,0.010783798001052078,0.007255765742420316,0.008658008658008658
16,0.007776049766718507,0.006854732401792776,0.007116499736425936,0.007649696649960433,0.009994739610731194,0.007255765742420316,0.00789406671759613
17,0.00751684810782789,0.006854732401792776,0.007116499736425936,0.007122131363756265,0.0097317201472909,0.006737496760818865,0.0073847720906544435
