Time (seconds),Insert Transactions,Read Transactions
0,0,0
0.150013701,466.6240452263757,6706.054135681913
0.300027402,413.2955829147899,6806.045002516137
0.450041103,226.64596482423963,6906.03586935036
0.600054804,426.62769849268636,6739.384424626654
0.750068505,453.29192964847925,6812.711060305085
0.900082206,439.9598140705828,6752.716540204551
1.050095907,506.62039196006504,6759.382597993499
1.200109608,453.29192964847925,6806.045002516137
1.350123309,519.9525075379615,6666.057788948224
1.50013701,559.9488542716508,6759.382597993499
1.650150711,386.631351758997,6859.373464827722
1.800164412,359.9671206032041,6766.048655782448
1.950178113,453.29192964847925,6779.380771360344
2.100191814,413.2955829147899,6812.711060305085
2.250205515,453.29192964847925,6726.052309048759
2.400219216,333.3028894474112,6866.039522616671
2.5502329169999998,293.30654271372185,6839.375291460878
2.700246618,386.631351758997,6819.377118094033
2.850260319,359.9671206032041,6839.375291460878
3.00027402,399.9634673368935,6732.7183668377065
3.1502877209999998,386.631351758997,6839.375291460878
3.300301422,399.9634673368935,6866.039522616671
3.450315123,279.9744271358254,6792.71288693824
3.600328824,359.9671206032041,6832.70923367193
3.7503425249999998,573.2809698495473,6732.7183668377065
3.900356226,519.9525075379615,6686.055962315068
4.050369927,506.62039196006504,6779.380771360344
4.200383628,386.631351758997,6806.045002516137
4.350397329,386.631351758997,6819.377118094033
4.50041103,426.62769849268636,6792.71288693824
4.650424731,346.63500502530763,6766.048655782448
4.800438432,466.6240452263757,6792.71288693824
4.950452133,439.9598140705828,6859.373464827722
5.1004658339999995,426.62769849268636,6719.38625125981
5.250479535,373.2992361811005,6812.711060305085
5.400493236,506.62039196006504,6786.0468291492925
5.550506937,359.9671206032041,6746.050482415603
5.700520638,453.29192964847925,6812.711060305085
5.850534339,546.6167386937544,6732.7183668377065
