Time (seconds),Total Misses Per Second,Total Hits Per Second
0,0,0
0.375059061,581.2417900763634,11070.2564788856
0.750118122,586.5742835633025,11038.261517963965
1.1251771830000001,546.5805824112592,10864.955479638445
1.500236244,506.58688125921583,10998.267816811922
1.875295305,450.5956996463551,11094.252699576826
2.2503543660000003,466.5931801071725,11027.596530990088
2.6254134270000002,442.59695941594646,10912.947921020897
3.000472488,482.5906605679898,11043.594011450905
3.375531549,370.60829734226843,11019.597790759679
3.75059061,426.59947895512914,11011.59905052927
4.125649671000001,1495.7644230864214,10091.743924032273
4.5007087320000005,3690.0854929618667,8262.698658012157
4.8757677930000005,3095.512469168156,8198.708736168888
5.2508268540000005,3602.0993504273715,8233.369943833992
5.6258859150000005,3703.4167266792147,8185.37750245154
6.000944976,3148.837404037547,8185.37750245154
6.376004037,2762.231626234461,8161.381281760314
6.751063098,2695.575457647722,8158.715035016844
7.126122159,2807.5578208734437,8209.373723142766
7.50118122,2943.536404790391,7985.408996691323
7.876240281,2812.8903143603825,8097.391359917045
8.251299342000001,2919.540184099165,7865.427893235194
8.626358403000001,2391.6233288921926,10278.381196075143
9.001417464000001,1885.036447632977,11182.238842111323
9.376476525000001,1466.4357089082564,11272.891231389287
9.751535586000001,1189.1460475874223,11038.261517963965
10.126594647000001,1015.8400092619012,10782.301830590888
10.501653708000001,890.5264123188321,11184.905088854792
10.876712769000001,877.1951786014843,10960.94036240335
11.251771830000001,671.8941793543283,11030.262777733557
11.626830891000001,562.5780628720765,10896.95044056008
12.001889952,498.5881410288072,11051.592751681314
12.376949013,415.9344919812509,11014.26529727274
12.752008074,413.26824523778134,11032.929024477027
13.127067135,434.5982191855378,10923.612907994775
13.502126196,322.6158559598164,11086.253959346417
13.877185257,367.94205059879886,11014.26529727274
14.252244318,357.27706362492063,10982.270336351105
14.627303379,343.94582990757283,10907.615427533958
