Time (seconds),Read Transactions,Insert Transactions
0,0,0
0.309857754,0,12202.373350966716
0.619715508,0,11986.14510063221
0.9295732619999999,0,11611.779771694853
1.239431016,0,12128.14574264293
1.54928877,0,12105.554731413951
1.8591465239999998,0,11485.91556627626
2.169004278,0,12447.647187167051
2.478862032,0,12234.64622415097
2.7887197859999997,0,11447.188118455155
3.09857754,0,11760.234988342425
3.408435294,0,12818.78522878598
3.7182930479999996,0,12057.14542163757
4.028150802,0,11944.190365492677
4.338008556,0,12008.736111861186
4.6478663099999995,0,11185.777845662691
4.957724064,0,12805.87607951228
5.267581818,0,11740.871264431873
5.577439571999999,0,11234.187155439073
5.887297326,0,10417.683463877429
6.19715508,0,12767.148631691174
6.507012833999999,0,12686.466448730536
6.816870588,0,12960.785870796703
7.126728342,0,11876.417331805742
7.436586095999999,0,12221.737074877268
7.7464438499999995,0,11740.871264431873
8.056301604,0,11234.187155439073
8.366159357999999,0,12763.921344372748
8.676017112,0,9798.044298739738
8.985874866,0,13722.425677945113
