Time (seconds),Total Hits Per Second,Total Misses Per Second
0,0,0
0.200021279,4994.468613511865,1444.8462755805097
0.400042558,4979.470209267085,1359.8553181934208
0.600063837,5024.465422001426,1484.8420202332572
0.800085116,4989.469145430272,1199.8723395824302
1.000106395,4994.468613511865,1409.8499990093553
1.200127674,4999.468081593459,1289.8627650511123
1.400148953,5009.467017756646,1329.8585097038601
1.600170232,4974.4707411854915,1369.8542543566077
1.800191511,4984.4696773486785,1364.8547862750142
2.00021279,5034.464358164613,1379.8531905197947
2.200234069,4964.471805022305,1254.8664884799582
2.400255348,5029.46489008302,1174.8749991744628
2.600276627,5004.467549675052,1274.8643608063321
2.800297906,4984.4696773486785,1214.8707438272106
3.000319185,4994.468613511865,1094.8835098689676
3.200340464,4989.469145430272,1239.8680842351778
3.400361743,4999.468081593459,1269.8648927247386
3.600383022,5004.467549675052,1279.8638288879256
3.800404301,4984.4696773486785,1259.8659565615517
4.00042558,4944.473932695931,1384.8526586013882
4.2004468589999995,4834.485634900875,1999.7872326373836
4.400468138,2194.7664878195283,2724.710104468435
4.600489417,8049.143611365469,2304.7547856145848
4.800510696,4979.470209267085,2359.7489345121126
5.0005319749999995,4994.468613511865,2489.7351046335425
5.200553254,4974.4707411854915,2424.7420195728278
5.400574533,5044.4632943278,2419.7425514912343
5.600595812,4989.469145430272,2249.7606367170565
5.8006170909999994,4844.484571064062,2144.771807003594
