Time (seconds),Successful,Unsuccessful
0,0,0
0.309857754,0,5002.295343559484
0.619715508,0,4537.565969706216
0.9295732619999999,0,4318.110432053283
1.239431016,0,4508.520383840387
1.54928877,0,3924.3813792053757
1.8591465239999998,0,5815.571747802704
2.169004278,0,6164.118778192655
2.478862032,0,5376.660672496839
2.7887197859999997,0,4798.976242498679
3.09857754,0,4753.794220040722
3.408435294,0,3653.289244457636
3.7182930479999996,0,4292.29213350588
4.028150802,0,4824.794541046083
4.338008556,0,4298.74670814273
4.6478663099999995,0,5554.16147501024
4.957724064,0,4382.656178421793
5.267581818,0,6115.709468416272
5.577439571999999,0,11737.643977113446
5.887297326,0,10553.229531251298
6.19715508,0,1636.234670441715
6.507012833999999,0,1226.3691810016799
6.816870588,0,8752.403207569885
7.126728342,0,14500.201921685653
7.436586095999999,0,10508.047508793341
7.7464438499999995,0,9497.906578126169
8.056301604,0,12102.327444095527
8.366159357999999,0,7913.308504779261
8.676017112,0,11053.459065607247
8.985874866,0,12366.965004206415
