Time (seconds),Latency (ms)
0,0
0.200021279,3.485292570858282
0.400042558,3.8817629045226156
0.600063837,4.894065739562616
0.800085116,3.9860693610000024
1.000106395,3.1122218274824465
1.200127674,3.4384808578578596
1.400148953,3.7749994231536954
1.600170232,3.9928213025125574
1.800191511,3.926584792999996
2.00021279,4.123084094433398
2.200234069,6.018614003015077
2.400255348,6.187792237051787
2.600276627,6.349002127872121
2.800297906,7.25248242599999
3.000319185,6.8462894054053995
3.200340464,7.765212850746265
3.400361743,7.590492769307923
3.600383022,9.12520766298897
3.800404301,11.607750273273275
4.00042558,66.1888379549549
4.2004468589999995,60.8238210402414
4.400468138,93.37726909018828
4.600489417,53.41362710778444
4.800510696,23.15142839859436
5.0005319749999995,19.840733362275433
5.200553254,10.860324050949044
5.400574533,6.743254853000009
5.600595812,5.857296430569429
5.8006170909999994,6.938712455633105
