Time (seconds),Node1,Node2,Node3,Node4
0,0,0,0,0
0.200021279,0.7746478873239436,0.7876106194690266,0.7635782747603834,0.7755681818181818
0.400042558,0.7508305647840532,0.8018867924528302,0.7791798107255521,0.8072289156626506
0.600063837,0.7648902821316614,0.7634408602150538,0.746875,0.8178694158075601
0.800085116,0.8085106382978723,0.7944785276073619,0.8041237113402062,0.8171091445427728
1.000106395,0.770764119601329,0.7663551401869159,0.7770897832817337,0.8035714285714286
1.200127674,0.7849829351535836,0.7904191616766467,0.7734627831715211,0.8291925465838509
1.400148953,0.7854785478547854,0.764367816091954,0.784375,0.8316498316498316
1.600170232,0.8159722222222222,0.7836065573770492,0.7638036809815951,0.7771428571428571
1.800191511,0.7943262411347518,0.7619047619047619,0.8076923076923077,0.7770700636942676
2.00021279,0.7833333333333333,0.7790055248618785,0.7712418300653595,0.8063492063492064
2.200234069,0,0.7953964194373402,0.8074074074074075,0.7924107142857143
2.400255348,0,0.8227146814404432,0.7911832946635731,0.8195991091314031
2.600276627,0,0.7966101694915254,0.7944862155388471,0.7995495495495496
2.800297906,0,0.7954545454545454,0.7966101694915254,0.8190255220417634
3.000319185,0,0.8123324396782842,0.805352798053528,0.8410138248847926
3.200340464,0,0.7831325301204819,0.7889688249400479,0.8309178743961353
3.400361743,0,0.7837209302325582,0.7940503432494279,0.8165374677002584
3.600383022,0,0.7787810383747178,0.8,0.8120300751879699
3.800404301,0,0.784503631961259,0.8048192771084337,0.8052256532066508
4.00042558,0,0.75,0.7873831775700935,0.80622009569378
4.2004468589999995,0.5194805194805194,0.7088948787061995,0.7335092348284961,0.7927461139896373
4.400468138,0.11244979919678715,0.5521739130434783,0.5753424657534246,0.5524475524475524
4.600489417,0.7546875,0.7819706498951782,0.7739130434782608,0.805668016194332
4.800510696,0.5942408376963351,0.6935483870967742,0.6962750716332379,0.7342465753424657
5.0005319749999995,0.6149584487534626,0.6997084548104956,0.7055702917771883,0.6514423076923077
5.200553254,0.6054054054054054,0.698170731707317,0.6870026525198939,0.6987654320987654
5.400574533,0.6373333333333333,0.6757425742574258,0.6793650793650794,0.7092731829573935
5.600595812,0.6342857142857142,0.7067039106145251,0.672514619883041,0.7361809045226131
5.8006170909999994,0.6444444444444445,0.6839378238341969,0.6993670886075949,0.75
