Time (seconds),Node4,Node1,Node2,Node3
0,0,0,0,0
0.200021279,0,0,0,0
0.400042558,0,0,0,0
0.600063837,0,0,0,0
0.800085116,0,0,0,0
1.000106395,0,0,0,0
1.200127674,0,0,0,0
1.400148953,0,0,0,0
1.600170232,0,0,0,0
1.800191511,0,0,0,0
2.00021279,0,0,0,0
2.200234069,0,0,0,0
2.400255348,0,0,0,0
2.600276627,0,0,0,0
2.800297906,0,0,0,0
3.000319185,0,1,0,0
3.200340464,0,0,0,0
3.400361743,0,0,0,0
3.600383022,0,0,0,0
3.800404301,0,0,0,0
4.00042558,0,0,0,0
4.2004468589999995,0,0,0,0
4.400468138,0,0,0,0
4.600489417,0,0,0,0
4.800510696,0,0,0,0
5.0005319749999995,0,0,0,0
5.200553254,0,0,0,0
5.400574533,0,0,0,0
5.600595812,0,0,0,0
5.8006170909999994,0,0,0,0
