Time (seconds),Node1,Node2,Node3,Node4
0,0,0,0,0
0.309857754,3531,3534,3571.6521739130435,3549
0.619715508,3531,3528.269230769231,3575.665948275862,3540.29794933655
0.9295732619999999,3531,3569.826216484608,3551,3532
1.239431016,3531,3528.8586239396795,3529.9782833505687,3517.7183622828784
1.54928877,3531,3526.785714285714,3507,3533.288393903869
1.8591465239999998,3529.0523114355233,3523.4125603864736,3507,3509.652949245542
2.169004278,3506.414333706607,3509.1983914209113,3507,3488.940972222222
2.478862032,3500.1972942502816,3505,3504.5684210526315,3480
2.7887197859999997,3496.214805825243,3494.2315891472867,3498.9988687782807,3477.8486416558862
3.09857754,3486.765486725664,3472.5951134380452,3476.9153225806454,3460.395
3.408435294,0,3444.6405594405596,3455.263909774436,3431.4649572649573
3.7182930479999996,0,3432.1812596006143,3444.114217252396,3420.70095902354
4.028150802,0,3423.013402829486,3437.956647398844,3412.14734950584
4.338008556,0,3416.3103715170278,3431.9916142557654,3403.837568058076
4.6478663099999995,0,3411.348662207358,3424.0445246690733,3395.921845574388
4.957724064,0,3404.704,3417.70325203252,3391.733169129721
5.267581818,0,3402.356111645813,3413.7806524184475,3391.8167701863354
5.577439571999999,0,3400.07635009311,3412,3391
5.887297326,0,3400,3412,3391
6.19715508,0,3400,3412,3391
6.507012833999999,0,3400,3412,3391
6.816870588,0,3400,0,3391
7.126728342,0,3400,0,3391
7.436586095999999,0.06494960806270997,3400,0,3390.79
7.7464438499999995,1,3400,0,3389.1717417783193
8.056301604,1,3400,0,3385.826666666667
8.366159357999999,1,3399.8790534618756,0,3383.032608695652
8.676017112,1,3397.9598051157127,0,3375
8.985874866,1,3393.9555369127515,0,3373.833505687694
